cve_id,category,version,verified,native_success,environment_ready,status,bundle_present,bundle_compose,bundle_readme,poc_materials_total,poc_materials_missing_count,poc_basename_collisions,hash_ok,hash_bad,service_complete,service_empty,service_protocol,service_port,cap_verified_count,cap_inferred_count,cap_unresolvable_refs,guide_present,guide_ready,guide_integrity_ok,reasons
CVE-2024-45195,ofbiz,3,True,True,,review_required,True,True,True,0,0,0,5,0,False,True,,,2,0,2,True,True,True,required_service empty; environment_ready missing (legacy)
CVE-2024-45507,ofbiz,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-47177,cups-browsed,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-4956,nexus,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-56145,craftcms,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2024-9264,grafana,3,True,True,,review_required,True,True,True,0,0,0,5,0,False,True,,,2,0,2,True,True,True,required_service empty; environment_ready missing (legacy)
CVE-2025-13780,pgadmin,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-1974,ingress-nginx,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-24813,tomcat,2,False,,,excluded,True,True,True,0,0,0,7,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-2945,pgadmin,2,False,,,excluded,True,True,True,1,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-29927,next.js,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-30208,vite,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-32395,vite,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-32433,erlang,2,False,,,excluded,True,True,True,1,0,0,6,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-3248,langflow,2,False,,,excluded,True,True,True,0,0,0,4,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-41242,spring,2,False,,,excluded,True,True,True,1,0,0,6,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-49001,dataease,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-54068,livewire,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-55182,react,3,True,True,,review_required,True,True,True,0,0,0,4,0,False,True,,,2,0,2,True,True,True,required_service empty; environment_ready missing (legacy)
CVE-2025-67303,comfyui,2,False,,,excluded,True,True,True,1,0,0,9,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2025-68613,n8n,3,True,True,,review_required,True,True,True,2,0,0,6,0,False,True,,,2,0,2,True,True,True,required_service empty; environment_ready missing (legacy)
CVE-2026-21858,n8n,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2026-22777,comfyui,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2026-24061,inetutils,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2026-25253,openclaw,2,False,,,excluded,True,True,True,2,0,0,12,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2026-25887,chartbrew,3,True,True,,review_required,True,True,True,0,0,0,5,0,False,True,,,2,0,2,True,True,True,required_service empty; environment_ready missing (legacy)
CVE-2026-27944,nginx-ui,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2026-31816,budibase,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2026-34197,activemq,2,False,,,excluded,True,True,True,0,0,0,6,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2026-34486,tomcat,2,False,,,excluded,False,False,False,0,0,0,0,0,False,True,,,0,0,0,False,False,False,version<3; no source_bundle; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
CVE-2026-39363,vite,2,False,,,excluded,True,True,True,0,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
PIL-CVE-2017-8291,python,2,False,,,excluded,True,True,True,1,0,0,5,0,False,True,,,0,0,0,False,False,False,version<3; not verified; native not success; required_service empty; no verified capability grants; environment_ready missing (legacy); guide not ready
